zipcode;locality;subregion;region
01129;01037;01;16
01194;01059;01;16
01426;01046;01;16
01430;01020;01;16
01450;01002;01;16
02480;02086;02;08
03638;03116;03;10
03680;03019;03;10
03689;03099;03;10
04278;04086;04;01
04770;04003;04;01
04825;04037;04;01
05150;05181;05;07
05195;05019;05;07
05217;05064;05;07
05280;05128;05;07
05460;05082;05;07
05610;05024;05;07
06004;06015;06;11
06070;06015;06;11
06129;06159;06;11
06340;06050;06;11
06442;06112;06;11
06445;06065;06;11
06510;06006;06;11
06613;06018;06;11
06620;06048;06;11
06718;06153;06;11
07002;07040;07;04
07122;07040;07;04
07144;07047;07;04
07181;07011;07;04
07210;07004;07;04
07430;07030;07;04
07609;07031;07;04
07630;07013;07;04
07689;07033;07;04
07700;07032;07;04
08017;08019;08;09
08262;08038;08;09
08480;08005;08;09
08515;08149;08;09
08552;08278;08;09
08590;08134;08;09
08670;08018;08;09
08672;08175;08;09
08797;08174;08;09
09125;09045;09;07
09146;09905;09;07
09199;09059;09;07
09267;09129;09;07
09410;09261;09;07
09555;09903;09;07
09640;09430;09;07
10136;10044;10;11
10748;10001;10;11
10759;10078;10;11
10830;10189;10;11
10950;10032;10;11
10970;10118;10;11
11009;11012;11;01
11070;11012;11;01
11190;11901;11;01
11659;11029;11;01
12510;12101;12;10
12580;12027;12;10
13193;13059;13;08
13327;13076;13;08
13400;13011;13;08
13619;13903;13;08
13630;13078;13;08
14192;14021;14;01
14620;14018;14;01
15148;15029;15;12
15186;15024;15;12
15337;15044;15;12
15582;15070;15;12
15595;15036;15;12
15620;15051;15;12
15639;15048;15;12
15938;15011;15;12
16002;16078;16;08
16193;16078;16;08
16212;16908;16;08
16339;16095;16;08
16610;16061;16;08
17117;17901;17;09
17150;17163;17;09
17459;17038;17;09
17475;17210;17;09
17527;17094;17;09
17536;17201;17;09
17707;17014;17;09
17770;17026;17;09
17834;17015;17;09
17861;17112;17;09
18016;18087;18;01
18131;18185;18;01
18452;18112;18;01
18460;18904;18;01
18564;18051;18;01
18810;18039;18;01
19125;19009;19;08
19245;19031;19;08
19261;19011;19;08
19268;19257;19;08
19295;19314;19;08
20015;20069;20;16
20300;20045;20;16
20568;20059;20;16
21120;21002;21;01
21330;21025;21;01
21550;21058;21;01
22124;22141;22;02
22144;22058;22;02
22222;22083;22;02
22423;22103;22;02
22449;22054;22;02
22484;22233;22;02
22711;22130;22;02
22730;22032;22;02
22731;22131;22;02
22761;22044;22;02
22792;22209;22;02
22822;22173;22;02
23196;23050;23;01
23360;23072;23;01
23450;23046;23;01
23540;23090;23;01
23620;23061;23;01
23687;23002;23;01
24113;24202;24;07
24131;24132;24;07
24137;24101;24;07
24206;24042;24;07
24319;24014;24;07
24393;24026;24;07
24397;24093;24;07
24450;24169;24;07
24516;24209;24;07
24526;24198;24;07
24688;24901;24;07
24836;24194;24;07
24913;24020;24;07
25199;25120;25;09
25282;25193;25;09
25411;25097;25;09
25548;25063;25;09
25633;25234;25;09
25651;25001;25;09
25657;25115;25;09
25788;25239;25;09
25791;25222;25;09
26143;26099;26;17
26216;26131;26;17
26289;26061;26;17
27161;27028;27;12
27286;27044;27;12
27290;27028;27;12
27392;27057;27;12
27422;27059;27;12
27515;27016;27;12
27667;27012;27;12
27686;27901;27;12
27720;27048;27;12
27790;27005;27;12
28005;28079;28;13
28054;28079;28;13
28170;28163;28;13
28500;28014;28;13
28596;28025;28;13
01010;01059;01;16
01118;01016;01;16
01193;01059;01;16
01212;01028;01;16
01213;01046;01;16
02002;02003;02;08
02141;02063;02;08
02220;02052;02;08
02250;02001;02;08
02534;02055;02;08
02636;02078;02;08
02637;02032;02;08
03108;03132;03;10
03160;03015;03;10
03350;03058;03;10
03830;03092;03;10
03837;03003;03;10
04113;04066;04;01
04114;04066;04;01
04120;04013;04;01
04230;04052;04;01
04276;04090;04;01
04558;04050;04;01
04610;04035;04;01
05154;05144;05;07
05220;05114;05;07
06107;06095;06;11
06429;06018;06;11
06460;06028;06;11
06486;06090;06;11
06720;06153;06;11
06770;06033;06;11
06907;06086;06;11
07520;07041;07;04
08041;08019;08;09
08110;08125;08;09
08199;08127;08;09
08259;08084;08;09
08283;08060;08;09
08620;08263;08;09
08660;08018;08;09
08770;08240;08;09
08790;08091;08;09
09118;09456;09;07
09214;09054;09;07
09240;09056;09;07
09269;09303;09;07
09290;09133;09;07
09442;09380;09;07
09461;09140;09;07
09463;09155;09;07
09493;09065;09;07
09591;09906;09;07
10080;10037;10;11
10160;10010;10;11
10300;10131;10;11
10310;10180;10;11
10328;10075;10;11
10340;10060;10;11
10394;10122;10;11
10611;10183;10;11
10729;10034;10;11
11202;11004;11;01
11404;11020;11;01
11408;11020;11;01
11570;11020;11;01
11593;11020;11;01
11610;11019;11;01
11670;11011;11;01
12127;12048;12;10
12160;12026;12;10
12164;12105;12;10
12230;12015;12;10
12412;12067;12;10
12526;12136;12;10
12579;12004;12;10
12598;12089;12;10
13004;13034;13;08
13248;13010;13;08
13379;13094;13;08
13431;13095;13;08
13480;13012;13;08
13591;13026;13;08
