avg,cards,merchants,txs,category_id,zipcode_id,date
233.64669,165,16,178,2,285,201501
18.32385,2943,24,3687,17,285,201501
76.51458,861,26,939,15,285,201501
42.94681,12166,323,18796,3,285,201501
81.73245,21441,644,35360,6,285,201501
93.44412,1276,97,1447,9,285,201501
31.11918,3251,96,5869,7,285,201501
169.1553,891,34,1047,10,285,201501
71.81225,2612,162,3028,13,285,201501
64.79059,3150,144,4052,8,285,201501
41.25712,432,29,482,5,285,201501
67.41087,3789,175,4550,19,285,201501
536.01519,49,10,81,18,285,201501
93.23441,1401,30,1506,16,285,201501
36.79565,0,0,6913,1,285,201501
16.10839,3068,28,3989,17,285,201502
28.70869,3141,95,5680,7,285,201502
262.36733,113,16,120,2,285,201502
89.4186,1206,32,1282,16,285,201502
62.86089,688,24,739,15,285,201502
66.30951,3034,137,3932,8,285,201502
65.92016,3403,175,4101,19,285,201502
44.9623,346,28,383,5,285,201502
87.84786,1145,95,1270,9,285,201502
42.86411,11949,328,18698,3,285,201502
167.78147,967,33,1113,10,285,201502
419.73552,55,11,87,18,285,201502
64.47894,2024,171,2357,13,285,201502
88.58698,13918,630,20738,6,285,201502
35.74627,0,0,6093,1,285,201502
42.104,12566,333,19932,3,285,201503
17.0375,3359,27,4296,17,285,201503
63.57367,3799,180,4713,19,285,201503
158.12801,996,36,1194,10,285,201503
194.75927,156,15,178,2,285,201503
658.06216,96,13,139,18,285,201503
53.23255,419,28,451,5,285,201503
103.795,14035,645,21152,6,285,201503
28.93038,3245,96,5851,7,285,201503
92.17256,1296,31,1411,16,285,201503
73.87941,2321,176,2700,13,285,201503
61.64802,590,23,648,15,285,201503
67.24212,3272,143,4268,8,285,201503
117.64012,1194,98,1375,9,285,201503
38.2106,0,0,6415,1,285,201503
68.20992,3216,142,4066,8,285,201504
182.33269,1053,34,1247,10,285,201504
67.29038,3520,182,4304,19,285,201504
62.05128,572,24,632,15,285,201504
43.24431,12024,332,18903,3,285,201504
18.10095,3138,26,4072,17,285,201504
36.94816,425,30,468,5,285,201504
71.59062,2404,172,2818,13,285,201504
26.34819,2970,90,5464,7,285,201504
101.21408,14893,644,22316,6,285,201504
87.44567,1207,31,1292,16,285,201504
213.68403,138,18,149,2,285,201504
810.6243,72,14,114,18,285,201504
106.21062,1129,91,1295,9,285,201504
37.53162,0,0,6298,1,285,201504
17.92144,3482,28,4529,17,285,201505
753.14118,70,10,119,18,285,201505
193.66414,969,37,1185,10,285,201505
50.61472,620,24,686,15,285,201505
101.54791,1176,91,1333,9,285,201505
26.06858,3048,95,5682,7,285,201505
44.44062,12684,332,20125,3,285,201505
66.54851,3609,149,4692,8,285,201505
69.95276,2429,174,2887,13,285,201505
82.7977,1248,29,1346,16,285,201505
62.81822,3894,182,4849,19,285,201505
96.61359,17047,652,26694,6,285,201505
41.55803,392,34,432,5,285,201505
254.51579,156,17,164,2,285,201505
36.78105,0,0,6963,1,285,201505
25.42833,3020,94,5588,7,285,201506
55.6453,452,34,498,5,285,201506
100.17764,1203,33,1277,16,285,201506
736.66387,77,10,119,18,285,201506
60.26055,4160,188,5184,19,285,201506
99.33944,1155,92,1315,9,285,201506
68.19458,3399,158,4369,8,285,201506
245.03197,148,15,157,2,285,201506
15.10243,3283,27,4220,17,285,201506
94.97643,17600,652,27740,6,285,201506
65.65734,2341,171,2752,13,285,201506
43.1348,12381,344,19503,3,285,201506
52.4037,624,22,681,15,285,201506
166.55325,1012,35,1234,10,285,201506
35.78056,0,0,7112,1,285,201506
57.54552,4535,185,5684,19,285,201507
72.21778,3265,146,4230,8,285,201507
50.3254,574,23,622,15,285,201507
294.73301,172,15,183,2,285,201507
41.24862,11734,339,18831,3,285,201507
14.93586,2807,27,3602,17,285,201507
742.93846,71,9,104,18,285,201507
78.39839,18401,629,30594,6,285,201507
98.85227,1112,25,1187,16,285,201507
68.56173,2210,174,2600,13,285,201507
41.61849,363,27,403,5,285,201507
24.40687,2807,88,4986,7,285,201507
101.3719,1173,90,1355,9,285,201507
185.6012,69,7,83,12,285,201507
136.86819,961,33,1167,10,285,201507
32.67949,0,0,6424,1,285,201507
74.76795,830,66,920,9,285,201508
43.64457,261,26,289,5,285,201508
39.15331,8007,317,11342,3,285,201508
81.65867,10022,550,14539,6,285,201508
54.44353,406,18,431,15,285,201508
74.80668,872,22,920,16,285,201508
101.2737,49,7,81,12,285,201508
133.68595,625,34,704,10,285,201508
48.53238,1947,108,2445,8,285,201508
19.86887,1190,25,1404,17,285,201508
579.86091,90,15,99,18,285,201508
76.44542,1545,149,1769,13,285,201508
55.60069,3253,170,3841,19,285,201508
24.54411,2010,77,3158,7,285,201508
33.49611,0,0,4551,1,285,201508
72.65291,2332,171,2751,13,285,201509
40.34541,11734,345,18887,3,285,201509
85.91405,1197,28,1272,16,285,201509
66.42276,3331,138,4226,8,285,201509
61.90111,4406,190,5391,19,285,201509
43.7557,533,32,602,5,285,201509
30.46557,3371,11,5792,11,285,201509
14.62006,2956,29,3789,17,285,201509
60.60163,614,21,644,15,285,201509
118.27505,1289,98,1517,9,285,201509
102.8287,74,9,108,12,285,201509
