id,avg,cards,age,merchants,txs,zipcode_id,date,origin_zipcode
1,54.445,32,<=24,46,78,285,201501,U
2,65.02387,72,25-34,137,238,285,201501,U
3,107.59318,72,35-44,142,223,285,201501,U
4,92.81157,80,45-54,127,216,285,201501,U
5,89.95219,72,55-64,138,215,285,201501,U
6,107.72865,47,>=65,93,155,285,201501,U
7,125.62654,3040,Unknown,1096,6395,285,201501,U
8,44.4561,81,<=24,125,251,285,201501,28001
9,38.4353,390,25-34,472,1707,285,201501,28001
10,41.66538,384,35-44,531,1942,285,201501,28001
11,49.46586,316,45-54,455,1589,285,201501,28001
12,52.71345,303,55-64,441,1379,285,201501,28001
13,56.05341,342,>=65,404,1355,285,201501,28001
14,5044.37,0,filtered,0,1,285,201501,28001
15,33.66162,81,<=24,104,210,285,201501,28006
16,39.52843,290,25-34,346,939,285,201501,28006
17,56.7207,290,35-44,339,892,285,201501,28006
18,83.29121,247,45-54,278,590,285,201501,28006
19,70.86604,239,55-64,283,656,285,201501,28006
20,61.34152,212,>=65,213,487,285,201501,28006
21,29.70144,55,<=24,72,132,285,201501,28009
22,42.40335,241,25-34,246,672,285,201501,28009
23,54.07687,285,35-44,261,639,285,201501,28009
24,57.77201,245,45-54,245,607,285,201501,28009
25,72.21729,209,55-64,198,461,285,201501,28009
26,77.04268,184,>=65,207,384,285,201501,28009
27,39.78284,33,<=24,45,67,285,201501,28007
28,44.14905,225,25-34,208,476,285,201501,28007
29,54.76279,260,35-44,220,527,285,201501,28007
30,57.68727,258,45-54,239,548,285,201501,28007
31,68.75857,267,55-64,215,455,285,201501,28007
32,79.59728,226,>=65,175,357,285,201501,28007
33,25.01095,102,Unknown,91,222,285,201501,28002
34,39.045,40,<=24,48,72,285,201501,28002
35,49.91683,242,25-34,233,526,285,201501,28002
36,55.97362,211,35-44,222,459,285,201501,28002
37,75.59435,177,45-54,194,349,285,201501,28002
38,75.33329,204,55-64,193,353,285,201501,28002
39,73.92539,172,>=65,171,306,285,201501,28002
40,50.10163,55,<=24,61,86,285,201501,28028
41,40.22082,271,25-34,235,619,285,201501,28028
42,46.56785,293,35-44,247,624,285,201501,28028
43,59.75547,248,45-54,213,465,285,201501,28028
44,62.3632,240,55-64,185,413,285,201501,28028
45,54.53835,198,>=65,147,309,285,201501,28028
46,37.32909,29,<=24,46,66,285,201501,28010
47,50.73532,148,25-34,180,363,285,201501,28010
48,52.28054,157,35-44,200,375,285,201501,28010
49,64.09302,140,45-54,182,318,285,201501,28010
50,117.16973,97,55-64,132,186,285,201501,28010
51,106.80671,96,>=65,105,152,285,201501,28010
52,32.98397,34,<=24,45,53,285,201501,28043
53,48.43634,148,25-34,164,289,285,201501,28043
54,63.08393,179,35-44,197,338,285,201501,28043
55,60.55306,175,45-54,191,353,285,201501,28043
56,79.46772,142,55-64,158,258,285,201501,28043
57,77.51277,78,>=65,85,119,285,201501,28043
58,40.34037,17,<=24,23,27,285,201501,28003
59,42.86776,140,25-34,191,344,285,201501,28003
60,68.49179,133,35-44,165,290,285,201501,28003
61,78.06379,85,45-54,113,169,285,201501,28003
62,102.88307,86,55-64,113,166,285,201501,28003
63,101.4496,72,>=65,86,100,285,201501,28003
64,48.10156,22,<=24,24,32,285,201501,28045
65,51.50145,121,25-34,136,214,285,201501,28045
66,54.23171,233,35-44,233,480,285,201501,28045
67,52.64777,178,45-54,164,318,285,201501,28045
68,60.70958,131,55-64,124,189,285,201501,28045
69,60.15906,43,>=65,53,75,285,201501,28045
70,22.7064,37,<=24,52,75,285,201501,28027
71,34.50242,146,25-34,138,265,285,201501,28027
72,58.78258,146,35-44,142,260,285,201501,28027
73,48.40152,187,45-54,170,362,285,201501,28027
74,77.91816,152,55-64,155,256,285,201501,28027
75,56.84496,90,>=65,84,133,285,201501,28027
76,33.86569,25,<=24,30,51,285,201501,28016
77,53.62661,114,25-34,145,248,285,201501,28016
78,67.09705,128,35-44,151,230,285,201501,28016
79,66.20145,96,45-54,115,194,285,201501,28016
80,78.4929,99,55-64,116,176,285,201501,28016
81,76.18269,87,>=65,92,145,285,201501,28016
82,52.64425,27,<=24,41,47,285,201501,28033
83,54.01687,122,25-34,141,227,285,201501,28033
84,63.01371,163,35-44,184,307,285,201501,28033
85,50.63741,164,45-54,171,289,285,201501,28033
86,70.06753,108,55-64,111,162,285,201501,28033
87,73.56418,76,>=65,81,110,285,201501,28033
88,30.09923,14,<=24,16,26,285,201501,28020
89,47.64035,121,25-34,164,256,285,201501,28020
90,65.72109,107,35-44,123,184,285,201501,28020
91,125.49982,79,45-54,111,164,285,201501,28020
92,93.1493,72,55-64,91,129,285,201501,28020
93,79.37822,47,>=65,57,73,285,201501,28020
94,34.30867,32,<=24,45,60,285,201501,28036
95,46.39796,127,25-34,162,309,285,201501,28036
96,54.16667,97,35-44,131,213,285,201501,28036
97,74.52937,85,45-54,116,159,285,201501,28036
98,95.52356,79,55-64,99,135,285,201501,28036
99,97.68982,71,>=65,91,107,285,201501,28036
100,23.44071,18,<=24,20,28,285,201501,28030
101,42.5455,103,25-34,113,198,285,201501,28030
102,56.21364,167,35-44,155,299,285,201501,28030
103,52.62876,172,45-54,136,289,285,201501,28030
104,47.29981,142,55-64,125,265,285,201501,28030
105,66.59355,101,>=65,82,138,285,201501,28030
106,34.305,25,<=24,30,44,285,201501,28035
107,57.75193,111,25-34,131,228,285,201501,28035
108,69.57532,124,35-44,137,203,285,201501,28035
109,83.02019,100,45-54,108,158,285,201501,28035
110,66.80086,83,55-64,103,164,285,201501,28035
111,88.91677,42,>=65,47,65,285,201501,28035
112,28.38,19,<=24,26,46,285,201501,28034
113,37.58266,103,25-34,137,240,285,201501,28034
114,58.08676,106,35-44,110,182,285,201501,28034
115,56.15696,80,45-54,108,138,285,201501,28034
116,147.78857,77,55-64,90,133,285,201501,28034
117,94.14097,51,>=65,62,82,285,201501,28034
118,29.45872,20,<=24,26,39,285,201501,28050
119,53.91576,142,25-34,167,264,285,201501,28050
120,42.26508,254,35-44,228,461,285,201501,28050
121,72.22393,115,45-54,138,219,285,201501,28050
122,56.51663,43,55-64,53,80,285,201501,28050
123,51.59214,9,>=65,12,14,285,201501,28050
124,31.00845,21,<=24,35,45,285,201501,28005
125,46.94035,110,25-34,133,197,285,201501,28005
126,44.37658,153,35-44,164,316,285,201501,28005
127,70.95278,111,45-54,130,194,285,201501,28005
128,73.6366,96,55-64,87,150,285,201501,28005
129,78.63019,33,>=65,44,53,285,201501,28005
130,23.43261,22,<=24,36,46,285,201501,28004
131,41.89473,110,25-34,127,224,285,201501,28004
132,69.12783,139,35-44,163,268,285,201501,28004
133,62.88874,97,45-54,124,191,285,201501,28004
134,69.2433,56,55-64,70,94,285,201501,28004
135,71.15871,33,>=65,50,85,285,201501,28004
136,25.15725,13,<=24,26,40,285,201501,28014
137,41.05507,68,25-34,118,203,285,201501,28014
138,66.9635,74,35-44,111,174,285,201501,28014
139,51.84255,78,45-54,127,192,285,201501,28014
140,78.31969,74,55-64,105,161,285,201501,28014
141,64.55496,65,>=65,78,125,285,201501,28014
142,39.36547,31,<=24,43,53,285,201501,28015
143,43.20389,129,25-34,147,239,285,201501,28015
144,67.87235,108,35-44,129,196,285,201501,28015
