origin_age_data_id,avg,cards,gender,merchants,txs
1,58.23649,21,F,37,57
1,44.15381,11,M,12,21
2,52.86228,48,F,94,145
2,83.98548,24,M,59,93
3,122.53866,47,F,106,157
3,72.04106,25,M,50,66
4,99.80074,30,F,68,108
4,85.82241,50,M,71,108
5,99.50818,31,F,59,77
5,84.62022,41,M,97,138
6,90.71471,21,F,61,102
6,140.47245,26,M,43,53
7,125.62654,3040,U,1096,6395
8,40.44394,42,F,83,160
8,51.51044,39,M,62,91
9,37.839,225,F,332,1025
9,39.33151,165,M,276,682
10,41.34781,232,F,423,1364
10,42.41479,152,M,247,578
11,44.86534,202,F,341,1142
11,61.21931,114,M,207,447
12,51.16746,188,F,339,911
12,55.72284,115,M,207,468
13,48.44405,218,F,308,971
13,75.29477,124,M,184,384
15,30.41483,53,F,76,143
15,40.59134,28,M,37,67
16,42.12624,176,F,252,609
16,34.7343,114,M,160,330
17,58.58539,175,F,250,599
17,52.9086,115,M,154,293
18,65.329,158,F,199,408
18,123.55813,89,M,114,182
19,60.68836,164,F,210,470
19,96.58382,75,M,108,186
20,57.92117,124,F,145,282
20,66.04659,88,M,93,205
21,26.38968,37,F,55,95
21,38.20459,18,M,26,37
22,38.74553,150,F,188,474
22,49.65234,90,M,118,197
22,348.16,0,filtered,0,1
23,52.10567,177,F,197,450
23,58.77021,108,M,111,189
24,56.97452,178,F,191,458
24,60.22336,67,M,86,149
25,78.28464,146,F,150,349
25,53.31098,63,M,75,112
26,68.69377,127,F,159,273
26,97.57649,57,M,74,111
27,37.66143,20,F,27,42
27,43.3468,13,M,22,25
28,45.38841,145,F,162,353
28,40.5922,80,M,83,123
29,45.19079,181,F,167,393
29,82.8359,79,M,88,134
30,52.97633,169,F,164,381
30,68.43497,89,M,108,167
31,60.61435,190,F,171,347
31,94.92565,77,M,79,108
32,82.43349,147,F,121,232
32,74.33328,79,M,76,125
33,25.01095,102,E,91,222
34,36.55891,30,F,38,55
34,47.08824,10,M,13,17
35,49.15379,156,F,174,380
35,51.90281,86,M,100,146
36,56.93655,132,F,152,310
36,53.9702,79,M,104,149
37,71.61066,125,F,149,271
37,89.43513,52,M,68,78
38,72.66135,143,F,143,260
38,82.80323,61,M,74,93
39,67.79411,119,F,137,209
39,87.13608,53,M,61,97
40,45.13407,34,F,44,59
40,60.95667,21,M,24,27
41,39.51298,164,F,170,416
41,41.67138,107,M,114,203
42,44.16851,180,F,160,410
42,51.16472,113,M,132,214
43,54.97163,165,F,165,344
43,73.35579,83,M,85,121
44,51.38098,164,F,148,306
44,93.77028,76,M,70,107
45,54.01225,150,F,121,240
45,56.36826,48,M,41,69
46,47.63564,16,F,24,39
46,22.44185,13,M,23,27
47,51.64894,94,F,134,265
