avg,cards,merchants,txs,category_id,zipcode_id,date
74.11001,7568,178,8750,19,285,201501
39.12912,1072,31,1168,5,285,201501
126.22956,1912,101,2148,9,285,201501
74.37947,7035,166,8057,13,285,201501
67.38798,6169,148,7664,8,285,201501
102.18546,1319,26,1428,15,285,201501
507.62096,86,10,136,18,285,201501
37.01721,5690,96,8741,7,285,201501
97.66022,2229,31,2355,16,285,201501
184.76337,2380,37,2742,10,285,201501
47.61678,29711,326,40512,3,285,201501
233.64669,165,16,178,2,285,201501
16.51904,4207,26,5181,17,285,201501
75.76406,121631,664,181201,6,285,201501
38.35587,0,0,7035,1,285,201501
40.89183,891,32,969,5,285,201502
378.80312,93,11,141,18,285,201502
46.84043,29571,332,40960,3,285,201502
190.45901,2930,35,3290,10,285,201502
133.559,1754,100,1941,9,285,201502
262.36733,113,16,120,2,285,201502
73.26861,6980,177,8114,19,285,201502
97.39047,1727,32,1820,16,285,201502
14.59517,4473,28,5642,17,285,201502
88.75616,964,24,1031,15,285,201502
87.10691,75412,648,103639,6,285,201502
82.21569,5495,177,6268,13,285,201502
37.13988,5338,95,8282,7,285,201502
70.27657,6035,145,7556,8,285,201502
38.43664,0,0,6239,1,285,201502
98.82592,81510,665,112940,6,285,201503
190.56667,3443,38,3934,10,285,201503
47.39361,32097,335,44255,3,285,201503
38.27128,5678,97,8737,7,285,201503
181.63493,1851,103,2099,9,285,201503
194.75927,156,15,178,2,285,201503
84.5482,6134,183,7022,13,285,201503
624.42943,114,13,158,18,285,201503
15.2957,4902,27,6087,17,285,201503
84.00127,799,23,867,15,285,201503
67.6511,6417,151,8130,8,285,201503
107.83607,2027,31,2161,16,285,201503
46.15586,1011,31,1091,5,285,201503
72.87017,7582,183,8966,19,285,201503
40.00693,0,0,6558,1,285,201503
213.68403,138,18,149,2,285,201504
810.6243,72,14,114,18,285,201504
49.16102,31171,333,42497,3,285,201504
174.99248,1724,95,1984,9,285,201504
15.76627,4877,26,6112,17,285,201504
100.0087,86792,661,119325,6,285,201504
76.54561,7135,186,8335,19,285,201504
70.77271,6341,151,7850,8,285,201504
42.75218,920,33,1003,5,285,201504
84.52559,6674,177,7677,13,285,201504
76.13957,761,24,831,15,285,201504
113.30515,1949,31,2054,16,285,201504
209.56235,3209,36,3686,10,285,201504
39.35853,5148,90,8117,7,285,201504
39.37461,0,0,6443,1,285,201504
202.81167,208,6,251,12,285,201505
67.44182,7244,156,9188,8,285,201505
218.94695,3417,38,3958,10,285,201505
88.4156,6623,179,7675,13,285,201505
139.02609,1731,95,1961,9,285,201505
96.56763,96927,667,135793,6,285,201505
753.14118,70,10,119,18,285,201505
15.8287,5194,28,6578,17,285,201505
50.17751,32746,335,45069,3,285,201505
39.55054,1017,38,1103,5,285,201505
41.87565,5125,95,8281,7,285,201505
112.32974,2153,29,2290,16,285,201505
61.20222,812,24,887,15,285,201505
72.41013,7746,184,9216,19,285,201505
254.51579,156,17,164,2,285,201505
33.29301,0,0,6876,1,285,201505
38.20481,5129,94,8220,7,285,201506
62.73301,825,23,890,15,285,201506
115.07404,316,8,359,12,285,201506
69.08654,6745,162,8436,8,285,201506
1252.085,7,5,10,14,285,201506
139.52926,1873,97,2113,9,285,201506
13.94069,4910,27,6110,17,285,201506
42.40369,1173,35,1270,5,285,201506
245.03197,148,15,157,2,285,201506
48.69469,30499,346,41935,3,285,201506
206.49772,3338,37,3895,10,285,201506
116.62491,2010,33,2109,16,285,201506
736.66387,77,10,119,18,285,201506
63.63926,10868,191,12738,19,285,201506
78.67035,6440,178,7462,13,285,201506
95.57875,86027,668,119896,6,285,201506
33.067,0,0,7007,1,285,201506
101.93611,1589,25,1678,16,285,201507
13.92206,4114,27,5149,17,285,201507
144.78144,1925,94,2214,9,285,201507
51.39881,844,30,931,5,285,201507
37.21251,4564,88,7075,7,285,201507
742.93846,71,9,104,18,285,201507
183.41083,2984,34,3482,10,285,201507
86.29736,5897,181,6856,13,285,201507
46.73228,27438,342,38733,3,285,201507
74.17458,6407,152,7980,8,285,201507
83.05129,87778,649,128215,6,285,201507
57.21539,13719,186,16397,19,285,201507
294.73301,172,15,183,2,285,201507
56.72609,836,23,897,15,285,201507
36.93677,0,0,6647,1,285,201507
56.61975,554,29,609,5,285,201508
132.19434,1225,74,1343,9,285,201508
80.36091,1051,23,1103,16,285,201508
186.79653,1862,35,2045,10,285,201508
64.2551,592,18,624,15,285,201508
43.22817,18861,320,24264,3,285,201508
27.66188,2740,78,3935,7,285,201508
51.29375,10230,173,11793,19,285,201508
88.18327,4216,160,4752,13,285,201508
17.96405,1879,26,2156,17,285,201508
61.2813,3773,114,4483,8,285,201508
579.86091,90,15,99,18,285,201508
96.60669,47839,568,63107,6,285,201508
37.70831,0,0,4741,1,285,201508
69.06502,875,21,921,15,285,201509
85.32904,1450,28,1533,16,285,201509
214.96408,3113,38,3592,10,285,201509
80.80063,6180,177,7152,13,285,201509
46.18295,28874,346,40480,3,285,201509
30.46557,3371,11,5792,11,285,201509
135.69722,2108,100,2458,9,285,201509
56.78658,13649,190,16029,19,285,201509
739.42783,65,12,92,18,285,201509
214.11942,165,14,173,2,285,201509
13.84261,4220,29,5224,17,285,201509
